"Vevoazon","Kontakt","Szamlaszam","Telefon1","Telefon2","Telefon3","Mobil1","Mobil2","Email1","Email2","Weblap","Elerhetoseg","Vezetonev","Kontaktbeosztas","Kategoria","Atvevonev","Atvevocim1","Atvevocim2","Vevonev","Telephely","Aktiv","Nyugta"
"6","","","","","","","","","","","","","","Már megszünt üzlet;","","","","Bogi Büfé","\Balatonföldvár\Nyugati strand\","False","False"
"7","","","","","06-30/3962360","","","","","","","Csobot Ferenc","","Nem üzemelõ;","","","","Kabala ABC","8630\Balatonboglár\Szabadság  u.75\","False","False"
"8","","","0685-350-754","","06-85/350-754","","","","","","","Gróf László","","Meglévõ üzlet;","","","","Gróf és Fia Bt.","8638\Balatonlelle\Kossuth L.10.\","False","False"
"9","","","","","","","","","","","","","","Meglévõ üzlet;","","","","Ballér Hús Kft.","8638\Balatonlelle\Kossuth L.49.\","False","False"
"10","","","","","06-30/6687691","0670-2462365","","","","","","Forintos Ildikó","","Meglévõ üzlet;","","","","Forintos  ABC","8638\Balatonlelle\Petõfi u.\","False","False"
"11","","","","","","","","","","","","","","Nyári üzlet;","","","","Kovács ABC","8630\Balatonboglár\Szegfû u.\","False","False"
"12","","","06205919779","","","06-20-574-75-20","","","","","","ifj. Gál Lajos",""," ","","","","PLATÁN   Balatonszemes Ady.E.u.26","8636\Balatonszemes\\","False","False"
"13","","","","","","","","","","","","","","Meglévõ üzlet;","","","","Kurucz Dóra","8636\Balatonöszöd\Szemesi u.2\","False","False"
"14","","","","","","0630-353-17-12","","","","","","","","Meglévõ üzlet;","","","","Lívia élelmiszer ABC","8684\Somogybabod\Kossuth L. u.9\","False","False"
"15","","","","","","06302553961","","","","","","Bolla László","","Már megszünt üzlet;","","","","Polgármesteri hivatal Balatonföldvár","\","False","False"
"16","","","","","06-30/9131291","","","","","","","Hegyi Árpád","","Meglévõ üzlet;","","","","Hegyi Árpád    Szedresi ABC                                                             Adószám:51174033-2-34","8636\Balatonszemes\Németh Pál u.31.\","True","False"
"17","","","06-85-330-329","","06-85/330-329","","","","","","","Szekeres Imre","","Meglévõ üzlet;","","","","Szõlõsgyörök ABC","8692\Szõlõsgyörök\Szabadság u.21\","False","False"
"18","","","","","","","","","","","","","","Nem üzemelõ;","","","","Szakiskola Büfé Gergely és Társa Bt.","8636\Balatonboglár\Szabadság u.\","False","False"
"19","","","","","","","","","","","","Víghné Balassa Krisztina","","Meglévõ üzlet;","","","","Zöldséges Gyümölcs Kis-és Nagykereskedés                                     Adószám:63292143-2-34","8624\Balatonszárszó\Szóládi u.9\","False","False"
"20","","","06-84-363-099","","","","","","","","","Baranyai Géza","","Meglévõ üzlet;","","","","Baranyai Géza","8624\Balatonszárszó\Szóládi u.68/A\","False","False"
"134","","","","","","","","","","","","",""," ","","","","Tokap Kft. Ír Panzió ","8638\Balatonlelle\Köztársaság u.11.\","False","False"
"21","","","0685","0685351985","","","","","","","","","","Meglévõ üzlet;","","","","Lelle- Gastro Kft. Bugi Étterem ","8638\Balatonlelle\Rákoczi u.366\","False","False"
"23","","","","","","","","","","","","Papp Zoltán","","Nem üzemelõ;","","","","Papp Zoltán","\Nagycsepely\Kossuth L.22.\","False","False"
"24","","","","","06-30/4955791","06304955791","","","","","","Hajasné Székely Szilvia","","Meglévõ üzlet;","","","","Bíró Margit","8627\Kötcse\Hõsök Tere 4.\","False","False"
"25","","","","","","","","","","","","","","Meglévõ üzlet;","","","","""Tabi Coop"" Kereskedelmi Zártkörû Résuvénytársaság ","8660\Tab\Kossuth L.u.100\","False","False"
"26","","","","","","","","","","","","Püspök Zoltán",""," ","","","","Kurucz Kornél","8638\Balatonlelle\Móló sétány 9/b.\","False","False"
"27","","","","","","","","","","","","","","Nyári üzlet;","","","","KID S & B Kft  Autocar Üdülõ","1221\Budapest\Húr Út. 9/c.\","False","False"
"28","","","","","","","","","","","","Szimcsákné Illés Erika","","Nem üzemelõ;","","","","Torony ABC","8636\Balatonszemes\Kisfaludy u.\","False","False"
"29","","","","","","","","","","","","Gelencsér András","","Nyári üzlet;","","","","Platán Üdülõház","8636\Balatonszemes \Petõfi S.u.9.\","False","False"
"30","","","","","","","","","","","","","","Nem üzemelõ;","","","","Tobi kis ABC","8636\Balatonlelle\Honvéd u. 45\","False","False"
"31","","","","","","","","","","","","Sankovics Árpád","","Nem üzemelõ;","","","","Gyros Büfé","8636\Baltonlelle\Napfény Strand\","False","False"
"32","","","","","","","","","","","","Vegetáriánus Étterem","","Nyári üzlet;","","","","Elhera BT. ","1239\Budapest\Szent István u. 29.\","False","False"
"33","","","","","","","","","","","","","","Nyári üzlet;","","","","Mátrametál Kft.","3332\Sirok\Pf.10\","False","False"
"34","","","","","","","","","","","","","","Nyári üzlet;","","","","Rábakész  Kft.","9027\Gyõr\Budai u.1-5.\","False","False"
"35","","","","","06-84/360-187","","","","","","","","","Nyári üzlet;","","","","Car - Tour Hungary Kft. Garden Panzió","8636\Balatonszemes\Bagolyvár u. 22.\","False","False"
"36","","","","","","","","","","","","","","Nyári üzlet;","","","","Pocskai Abc","8636\Balatonlelle\Köztársaság u. 37.\","False","False"
"37","","","","","","","","","","","","","","Nyári üzlet;","","","","Gelencsér Csaba","8636\Balatonszemes\Ady E.u 2.\","False","False"
"39","","","","","","","","","","","","","","Nyári üzlet;","","","","Gomba Büfé","8624\Balatonszárszó\\","False","False"
"40","","","","","","","","","","","","","","Meglévõ üzlet;","","","","Mórocz Bt. ","8624\Balatonszemes\Bajcsy Zs.36\","False","False"
"41","","","","","","","","","","","","","","Nyári üzlet;","","8636","","Richter Gedeon Nyrt. ","1103\Budapest\Gyömröi Út.19-20\","False","False"
"42","","","06-84-367-534","","06-84/367-534","","","","","","","Fábián János","","Meglévõ üzlet;","","","","Fábián János  ","8627\Kötcse\Fõ u.1.\","False","False"
"43","","","","","","","","","","","","",""," ","","","","Dolgos Krisztina Földvári Bolthoz!!!","\","False","False"
"44","","","","","","06-30-270-92-57","","","","","","","","Nem üzemelõ;","","","","Grosszman Abc","\Pusztaszemes\\","False","False"
"135","","","","","","","","","","","","","","Meglévõ üzlet;","","","","KID  ","1221\Budapest\Húr út 9/c 4.lépcsõház.4 em. 2/5\","False","False"
"45","","OTP 11743040-15797663","","","","","","","","","","","","Meglévõ üzlet;","","","","Balatonszemes Község Önkormányzat Közkonyhája ","8636\Balatonszemes\Gárdonyi u.1.\","False","False"
"46","","","","","","","","","","","","","","Nyári üzlet;","","","","Lepkeház Gyerektábor                                               ","\","False","False"
